Class,Property,Corporate Body Classification,Corporate Body,Country,Currencies,Languages,Membership,Places,Sites
http://www.w3.org/2008/05/skos-xl#Label,http://lexvo.org/ontology#script,0.078242,0.0,0.0,0.07285,0.0,0.061856,0.061255,0.0
http://www.w3.org/2008/05/skos-xl#Label,http://publications.europa.eu/ontology/euvoc#startDate,1.0,0.848506,0.597162,1.0,0.999961,1.0,1.0,0.998739
http://www.w3.org/2008/05/skos-xl#Label,http://www.lexinfo.net/ontology/2.0/lexinfo#number,0.989011,0.0,0.000267,0.223797,0.0,0.0,0.0,0.0
http://www.w3.org/2008/05/skos-xl#Label,http://www.w3.org/2008/05/skos-xl#literalForm,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
http://www.w3.org/2008/05/skos-xl#Label,http://www.w3.org/2000/01/rdf-schema#label,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
http://www.w3.org/2008/05/skos-xl#Label,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
http://www.w3.org/2008/05/skos-xl#Label,http://publications.europa.eu/ontology/euvoc#status,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
http://www.w3.org/2008/05/skos-xl#Label,http://purl.org/dc/terms/type,1.0,1.0,0.913741,1.0,1.0,1.0,1.0,1.0
http://www.w3.org/2008/05/skos-xl#Label,http://purl.org/dc/terms/created,1.0,0.848506,0.597162,0.508723,0.999961,1.0,1.0,0.998739
http://www.w3.org/2008/05/skos-xl#Label,http://purl.org/dc/terms/modified,0.063297,0.0,0.0,0.001022,0.0,0.005155,0.002372,0.0
http://publications.europa.eu/ontology/authority/MappedCode,http://publications.europa.eu/ontology/authority/affected-table,0.0,0.628212,0.591503,0.0,0.031228,0.0,0.302726,0.0
http://publications.europa.eu/ontology/euvoc#Corporate,http://www.w3.org/2006/vcard/ns#hasEmail,0.0,0.026508,0.0,0.0,0.0,0.0,0.0,0.0
http://publications.europa.eu/ontology/euvoc#Corporate,http://publications.europa.eu/ontology/authority/protocol.order,0.0,0.011266,0.036448,0.0,0.0,0.0,0.0,0.0
http://publications.europa.eu/ontology/euvoc#Corporate,http://publications.europa.eu/resource/authority/op-code,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
http://publications.europa.eu/ontology/euvoc#Corporate,http://publications.europa.eu/ontology/authority/op-code,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
http://publications.europa.eu/ontology/euvoc#Corporate,http://www.w3.org/2004/02/skos/core#topConceptOf,0.0,0.172962,0.0,0.0,0.0,0.0,0.0,0.0
